SampleID,Tissue,Factor,Condition,Treatment,Replicate,bamReads,Peaks,PeakCaller
ISF1045,Cortex,CD133,E14,-,1,/store24/project24/ladcol_005/projects/mouse/in_vivo/Goetz_Yiling_bulkATAC_E14vsE18_2024/data/Sample_ISF1045/ISF1045_shifted.bam,/store24/project24/ladcol_005/projects/mouse/in_vivo/Goetz_Yiling_bulkATAC_E14vsE18_2024/data/Sample_ISF1045/peaks_ISF1045_new/ISF1045_peaks.narrowPeak,narrow
ISF1046,Cortex,PSA-NCAM,E14,-,1,/store24/project24/ladcol_005/projects/mouse/in_vivo/Goetz_Yiling_bulkATAC_E14vsE18_2024/data/Sample_ISF1046/ISF1046_shifted.bam,/store24/project24/ladcol_005/projects/mouse/in_vivo/Goetz_Yiling_bulkATAC_E14vsE18_2024/data/Sample_ISF1046/peaks_ISF1046_new/ISF1046_peaks.narrowPeak,narrow
ISF1047,Cortex,PSA-NCAM,E14,-,2,/store24/project24/ladcol_005/projects/mouse/in_vivo/Goetz_Yiling_bulkATAC_E14vsE18_2024/data/Sample_ISF1047/ISF1047_shifted.bam,/store24/project24/ladcol_005/projects/mouse/in_vivo/Goetz_Yiling_bulkATAC_E14vsE18_2024/data/Sample_ISF1047/peaks_ISF1047_new/ISF1047_peaks.narrowPeak,narrow
ISF1048,LGE,CD133,E14,-,1,/store24/project24/ladcol_005/projects/mouse/in_vivo/Goetz_Yiling_bulkATAC_E14vsE18_2024/data/Sample_ISF1048/ISF1048_shifted.bam,/store24/project24/ladcol_005/projects/mouse/in_vivo/Goetz_Yiling_bulkATAC_E14vsE18_2024/data/Sample_ISF1048/peaks_ISF1048_new/ISF1048_peaks.narrowPeak,narrow
ISF1049,Cortex,CD133,E18,-,1,/store24/project24/ladcol_005/projects/mouse/in_vivo/Goetz_Yiling_bulkATAC_E14vsE18_2024/data/Sample_ISF1049/ISF1049_shifted.bam,/store24/project24/ladcol_005/projects/mouse/in_vivo/Goetz_Yiling_bulkATAC_E14vsE18_2024/data/Sample_ISF1049/peaks_ISF1049_new/ISF1049_peaks.narrowPeak,narrow
ISF1050,LGE,CD133,E18,-,1,/store24/project24/ladcol_005/projects/mouse/in_vivo/Goetz_Yiling_bulkATAC_E14vsE18_2024/data/Sample_ISF1050/ISF1050_shifted.bam,/store24/project24/ladcol_005/projects/mouse/in_vivo/Goetz_Yiling_bulkATAC_E14vsE18_2024/data/Sample_ISF1050/peaks_ISF1050_new/ISF1050_peaks.narrowPeak,narrow
ISF1051,Cortex,PSA-NCAM,E14,-,3,/store24/project24/ladcol_005/projects/mouse/in_vivo/Goetz_Yiling_bulkATAC_E14vsE18_2024/data/Sample_ISF1051/ISF1051_shifted.bam,/store24/project24/ladcol_005/projects/mouse/in_vivo/Goetz_Yiling_bulkATAC_E14vsE18_2024/data/Sample_ISF1051/peaks_ISF1051_new/ISF1051_peaks.narrowPeak,narrow
ISF1052,LGE,CD133,E14,-,2,/store24/project24/ladcol_005/projects/mouse/in_vivo/Goetz_Yiling_bulkATAC_E14vsE18_2024/data/Sample_ISF1052/ISF1052_shifted.bam,/store24/project24/ladcol_005/projects/mouse/in_vivo/Goetz_Yiling_bulkATAC_E14vsE18_2024/data/Sample_ISF1052/peaks_ISF1052_new/ISF1052_peaks.narrowPeak,narrow
ISF1053,Cortex,CD133,E14,-,2,/store24/project24/ladcol_005/projects/mouse/in_vivo/Goetz_Yiling_bulkATAC_E14vsE18_2024/data/Sample_ISF1053/ISF1053_shifted.bam,/store24/project24/ladcol_005/projects/mouse/in_vivo/Goetz_Yiling_bulkATAC_E14vsE18_2024/data/Sample_ISF1053/peaks_ISF1053_new/ISF1053_peaks.narrowPeak,narrow
ISF1054,LGE,PSA-NCAM,E14,-,1,/store24/project24/ladcol_005/projects/mouse/in_vivo/Goetz_Yiling_bulkATAC_E14vsE18_2024/data/Sample_ISF1054/ISF1054_shifted.bam,/store24/project24/ladcol_005/projects/mouse/in_vivo/Goetz_Yiling_bulkATAC_E14vsE18_2024/data/Sample_ISF1054/peaks_ISF1054_new/ISF1054_peaks.narrowPeak,narrow
