;;MUC9905;MUC9906;MUC9907;MUC9908;MUC9909;MUC9910;MUC9911;MUC9912;MUC9913;MUC9914;MUC9915;MUC9916;MUC9917;MUC9918;MUC9919;MUC9920;MUC9921;MUC9922;MUC9923;MUC9924;MUC9925;MUC9926;MUC9927;MUC9928;MUC9929;MUC9930;MUC9931;MUC9932;MUC9933;MUC9934;MUC9935;MUC9936;MUC9937;MUC9938;MUC9939;MUC9940
1;ENSMUSG00000000001;8811;10063;12107;11529;12845;9996;11555;7086;6259;1409;7341;11575;10553;14890;12708;10382;12799;8289;9277;8548;8830;13025;10751;8936;6808;6404;6943;12124;11767;13291;9392;4501;7782;7136;6783;6139
2;ENSMUSG00000000088;6485;6118;8462;7053;7808;6062;7827;7817;7703;1729;8430;7738;7788;10758;7212;5851;8218;9799;9112;6682;8022;7497;6377;5818;7828;7185;6915;8595;8781;6480;5128;4717;7355;6713;3582;3512
3;ENSMUSG00000000581;2110;2089;2612;2339;3267;2469;3201;2789;2905;555;3481;2473;2458;3307;3193;2447;3598;3780;3330;3558;4280;2687;2587;2333;2968;2368;2611;2677;2702;2978;2200;1883;3188;3297;2216;1688
4;ENSMUSG00000006471;1784;2563;2508;2630;2366;2223;2686;1965;1454;632;2541;2215;1921;2582;2103;1788;2460;1820;2181;2097;2258;2540;1869;1995;1586;1666;1560;1796;2256;2267;1710;1337;1664;1790;769;809
5;ENSMUSG00000036019;346;492;519;492;745;674;669;242;158;67;182;469;341;289;390;408;635;709;1584;805;809;449;497;627;148;101;108;270;208;525;440;542;653;789;144;134
6;ENSMUSG00000036022;508;589;637;695;674;618;586;138;92;46;156;1561;1369;2005;1011;903;1096;170;252;173;177;671;672;475;140;126;106;1346;1665;1138;759;117;176;171;1682;1408
7;ENSMUSG00000036023;2148;2484;2671;3015;2778;2126;2387;1538;1222;522;2113;2744;2635;3713;2501;2188;2829;1464;1782;1601;1872;2891;1945;2165;1380;1257;1140;2516;2913;2572;1919;1055;1414;1607;8184;6167
8;ENSMUSG00000036026;3401;4586;5272;4421;5354;5128;6427;8086;6024;2224;8224;3147;2949;3713;3327;3157;4489;6271;7172;6236;6995;4890;4314;5016;6811;6461;5908;2968;3026;4391;3129;4870;5716;5708;2;2
9;ENSMUSG00000036027;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;14;7
10;ENSMUSG00000036030;1;19;18;23;51;42;22;8;2;0;19;65;80;131;63;84;84;4;7;3;3;29;33;29;1;4;3;64;101;85;77;7;5;4;8343;7646
11;ENSMUSG00000036036;2745;4045;4056;2948;3503;3542;5737;7839;5815;2876;7753;2059;1785;2033;1508;1855;2725;5912;6770;6865;7347;3165;3187;4649;4970;5233;4183;1410;1397;2340;1736;4612;4699;6454;58;59
12;ENSMUSG00000036040;12;28;28;22;243;97;88;30;50;28;225;25;41;35;52;61;69;6;9;51;97;19;75;175;38;39;44;43;47;70;41;3;8;89;2;1
