SampleID;ForeignID;Stage;Replicate;Region;Marker;Shuffle
MUC9905;E14-1_Ctx_Progenitors_#01;E14;1;Ctx;Progenitors;#01
MUC9906;E14-2_Ctx_Progenitors_#05;E14;2;Ctx;Progenitors;#05
MUC9907;E14-3_Ctx_Progenitors_#09;E14;3;Ctx;Progenitors;#09
MUC9908;E14-4_Ctx_Progenitors_#13;E14;4;Ctx;Progenitors;#13
MUC9909;E18-1_Ctx_Progenitors_#21;E18;1;Ctx;Progenitors;#21
MUC9910;E18-2_Ctx_Progenitors_#25;E18;2;Ctx;Progenitors;#25
MUC9911;E18-4_Ctx_Progenitors_#33;E18;4;Ctx;Progenitors;#33
MUC9912;E14-1_Ctx_PSANCAM_#02;E14;1;Ctx;PSANCAM;#02
MUC9913;E14-3_Ctx_PSANCAM_#10;E14;3;Ctx;PSANCAM;#10
MUC9914;E18-2_Ctx_PSANCAM_#26;E18;2;Ctx;PSANCAM;#26
MUC9915;E18-5_Ctx_PSANCAM_#38;E18;5;Ctx;PSANCAM;#38
MUC9916;E14-1_LGE_Progenitors_#03;E14;1;LGE;Progenitors;#03
MUC9917;E14-2_LGE_Progenitors_#07;E14;2;LGE;Progenitors;#07
MUC9918;E14-4_LGE_Progenitors_#15;E14;4;LGE;Progenitors;#15
MUC9919;E18-1_LGE_Progenitors_#23;E18;1;LGE;Progenitors;#23
MUC9920;E18-2_LGE_Progenitors_#27;E18;2;LGE;Progenitors;#27
MUC9921;E18-4_LGE_Progenitors_#35;E18;4;LGE;Progenitors;#35
MUC9922;E14-2_LGE_PSANCAM_#08;E14;2;LGE;PSANCAM;#08
MUC9923;E14-5_LGE_PSANCAM_#20;E14;5;LGE;PSANCAM;#20
MUC9924;E18-2_LGE_PSANCAM_#28;E18;2;LGE;PSANCAM;#28
MUC9925;E18-4_LGE_PSANCAM_#36;E18;4;LGE;PSANCAM;#36
MUC9926;E14-5_Ctx_Progenitors_#17;E14;5;Ctx;Progenitors;#17
MUC9927;E18-3_Ctx_Progenitors_#29;E18;3;Ctx;Progenitors;#29
MUC9928;E18-5_Ctx_Progenitors_#37;E18;5;Ctx;Progenitors;#37
MUC9929;E14-2_Ctx_PSANCAM_#06;E14;2;Ctx;PSANCAM;#06
MUC9930;E14-4_Ctx_PSANCAM_#14;E14;4;Ctx;PSANCAM;#14
MUC9931;E14-5_Ctx_PSANCAM_#18;E14;5;Ctx;PSANCAM;#18
MUC9932;E14-3_LGE_Progenitors_#11;E14;3;LGE;Progenitors;#11
MUC9933;E14-5_LGE_Progenitors_#19;E14;5;LGE;Progenitors;#19
MUC9934;E18-3_LGE_Progenitors_#31;E18;3;LGE;Progenitors;#31
MUC9935;E18-5_LGE_Progenitors_#39;E18;5;LGE;Progenitors;#39
MUC9936;E14-1_LGE_PSANCAM_#04;E14;1;LGE;PSANCAM;#04
MUC9937;E14-3_LGE_PSANCAM_#12;E14;3;LGE;PSANCAM;#12
MUC9938;E18-1_LGE_PSANCAM_#24;E18;1;LGE;PSANCAM;#24
MUC9939;E18-3_LGE_PSANCAM_#32;E18;3;LGE;PSANCAM;#32
MUC9940;E18-5_LGE_PSANCAM_#40;E18;5;LGE;PSANCAM;#40
