"","MUC9905","MUC9906","MUC9907","MUC9908","MUC9909","MUC9910","MUC9911","MUC9912","MUC9913","MUC9914","MUC9915","MUC9916","MUC9917","MUC9918","MUC9919","MUC9920","MUC9921","MUC9922","MUC9923","MUC9924","MUC9925","MUC9926","MUC9927","MUC9928","MUC9929","MUC9930","MUC9931","MUC9932","MUC9933","MUC9934","MUC9935","MUC9936","MUC9937","MUC9938","MUC9939","MUC9940"
"ENSMUSG00000000001",9085.84743141154,8446.65871816948,9110.10784988292,9297.16455132214,8810.58389941209,7864.73276148477,8057.41644423555,6938.77559033289,7264.4078648864,4577.00692985459,5957.28818025308,10501.0781560992,10820.0685362242,10968.7910416811,10319.6232966344,9377.99265333325,8982.35120450757,8385.37722027589,8381.67668524661,7514.69083354242,7489.50787328069,10214.1718233416,9470.00719113732,7759.473864854,7405.57784840363,7553.99075133606,8540.53481050369,12533.3160386998,10856.5125004464,9826.49365154745,9840.64145839421,6522.7148534231,8411.36071034363,7097.83183552493,8380.08146314948,9366.99245281037
"ENSMUSG00000000088",6687.29095366063,5135.31332979836,6367.36868139996,5687.64867555512,5355.6277996582,4769.50880353348,5457.84495967388,7654.58774903079,8940.36328218883,5616.49750299403,6841.02157192937,7020.07280966702,7985.09369469475,7924.9331112428,5856.5567528586,5285.17000719061,5767.40074995259,9912.93417559216,8232.60083604259,5874.25879149865,6804.17125248671,5879.12830399941,5617.17383107457,5051.9940628604,8515.10919466856,8475.23790573854,8506.09221008685,8885.17414653788,8101.55827878136,4790.88698081615,5372.95670769224,6835.73560622012,7949.8275539164,6677.09432621621,4425.39463379057,5358.67038512299
"ENSMUSG00000000581",2175.81864490732,1753.460206922,1965.44162087174,1886.2059055896,2240.88576094817,1942.57955063084,2232.08914218936,2731.05350288434,3371.64161167838,1802.86646278871,2824.8631188477,2243.55648207632,2520.20548299431,2436.11766117121,2592.898739861,2210.35908521542,2525.08005577141,3823.95052390431,3008.62168393567,3127.89775219278,3630.24843687897,2107.13855580184,2278.7562648565,2025.83398911195,3228.51866246504,2793.23080873888,3211.7724888701,2767.37768356974,2492.9291048021,2201.73787482569,2305.09063122522,2728.78739591107,3445.82600161597,3279.36540943465,2737.76507774425,2575.57961562859
"ENSMUSG00000006471",1839.64950830078,2151.32528020157,1887.18513979569,2120.87282244576,1622.87594441487,1749.02970475997,1872.97451918794,1924.17358665031,1687.56175675744,2052.99388195039,2062.044580578,2009.49357371575,1969.6154323971,1902.04287908802,1707.75635763472,1615.08869814678,1726.43049949907,1841.16136336134,1970.51167947859,1843.50803438681,1915.2105071198,1991.86153023323,1646.3067100954,1732.33553719603,1725.21246585901,1965.16998621578,1918.94488036666,1856.6344115395,2081.43895648909,1676.07110887503,1791.68408154324,1937.54049300748,1798.57417399278,1780.42586681469,950.063783747892,1234.38620204001
"ENSMUSG00000036019",356.793010017977,412.973873530695,390.529939216093,396.756436746508,511.007007011445,530.29510616654,466.500354928047,236.972014233779,183.380163389048,217.64333875107,147.694653154347,425.486449694215,349.629808666013,212.89325796144,316.702320246097,368.54372977846,445.643645195899,717.24363001274,1431.12815235859,707.689064225742,686.184809681096,352.10465632863,437.781934145219,544.448311690181,160.990822791383,119.136955947055,132.850030179231,279.11541821585,191.905719392612,388.150565575383,461.018126245044,785.450222296228,705.810658423849,784.779893249603,177.905311911179,204.459519250137
"ENSMUSG00000036022",523.846384650671,494.393519328414,479.32094659085,560.458787680535,462.307010370085,486.234978651219,408.623629279276,135.132801505213,106.778322986028,149.426769888794,126.59541698944,1416.17131763895,1403.64577144801,1476.99301803698,820.989860945652,815.673990171444,769.173913597961,171.976610863422,227.679478784321,152.087215044787,150.129433020462,526.196490860825,591.930502506211,412.460842189531,152.288616154011,148.626301478505,130.389844435171,1391.44204784642,1536.16837879182,841.362559285306,795.256267772701,169.552907765053,190.233806864621,170.085376103526,2078.03287940696,2148.35076943427
"ENSMUSG00000036023",2215.00400438906,2085.01443465497,2009.83712455912,2431.34279835513,1905.47310802388,1672.7112695995,1664.47884486285,1506.04528054361,1418.29468140137,1695.66899743371,1714.7186929403,2489.41325791242,2701.68488514646,2735.19953913781,2030.95513573202,1976.40608028252,1985.39507442393,1481.02210767088,1610.01917140341,1407.46607680176,1587.80959669099,2267.11483618278,1713.25123121217,1879.95310176913,1501.13064494668,1482.72429332127,1402.3058741141,2600.94219344843,2687.60269514749,1901.56810411406,2010.66769150963,1528.87451018915,1528.35569833281,1598.40467484425,10110.9518936187,9409.71533742981
"ENSMUSG00000036026",3507.08967361601,3849.38655286945,3967.00161762474,3565.16302206567,3672.39129602587,4034.64881961724,4481.6110330681,7917.99878964603,6991.65888769382,7224.4594833191,6673.85070077664,2855.02314965393,3023.6313951791,2735.19953913781,2701.71440886863,2851.69743850636,3150.38476107778,6343.9136866148,6479.83024540139,5482.17267641209,5933.08126541318,3834.72554442539,3799.98242233898,4355.58649352145,7408.84117589264,7621.22645914776,7267.38868795273,3068.20207875793,2791.85916770213,3246.41739703144,3278.46753868351,7057.45863945135,6178.27522748962,5677.46974736215,2.47090710987748,3.05163461567368
"ENSMUSG00000036027",1.03119367057219,0.839377791729055,0.752466164192858,0,0,0.786787991345015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.35259235854318,0,0,0,0,0,0,0,0,0,0,0,0,17.2963497691424,10.6807211548579
"ENSMUSG00000036030",1.03119367057219,15.948178042852,13.5443909554714,18.5475570023774,34.9816877283002,33.0450956364906,15.3408188466622,7.8337855945051,2.32126789100061,0,15.4186725820472,58.969337377663,82.0245885433462,96.5017882108948,51.1596055782157,75.8766502485064,58.9512853487488,4.04650849090404,6.32442996623114,2.6373505499096,2.54456666136377,22.7417261325841,29.0680157480729,25.1818198389398,1.08777582967151,4.71829528503189,3.69027861608974,66.1606917252384,93.1849887435277,62.843424902681,80.6781720928827,10.1441910628664,5.40436951319945,3.97860528897137,10307.3890088539,11666.3991357205
